note,x1,p(u=0|z),p(u=1|z),H[p(u|z)],"p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",kl_pyx_pyxz,kl_pyxz_pyx,true_x,within_threshold,z_value_for_min_Va,min_Va,max_Ve
x1 = -5.8,-5.8,0.999945,5.4999999999999995e-05,0.00086,0.9999900000000002,1e-05,0.90465,0.09535000000000002,0.9999847563000002,1.5243700000000001e-05,0.999957,4.3e-05,0.00018,0.45408,0.00069,0.00027,0.0002,2e-05,2e-05,-2.0,False,False,3e-05,0.00066
x1 = 6.4,6.4,0.000392,0.999608,0.005,0.9999,0.00010000000000000002,0.9999900000000002,1e-05,0.9999899647200002,1.003528e-05,0.999957,4.3e-05,0.00147,0.00018,0.00069,0.00018,0.00018,4e-05,3e-05,-2.0,False,False,3e-05,0.00066
x1 = 3.5,3.5,0.00017099999999999998,0.9998290000000001,0.00239,0.9998400000000001,0.00016,0.9999900000000002,1e-05,0.9999899743500003,1.0025650000000001e-05,0.999957,4.3e-05,0.00225,0.00018,0.00069,0.00018,0.00018,4e-05,3e-05,-2.0,False,False,3e-05,0.00066
x1 = 7.0,7.0,0.000436,0.999564,0.0055,0.9998799999999999,0.00012000000000000002,0.9999900000000002,1e-05,0.9999899520400002,1.004796e-05,0.999957,4.3e-05,0.00174,0.00018,0.00069,0.00018,0.00018,4e-05,3e-05,-2.0,False,False,3e-05,0.00066
x1 = 9.1,9.1,0.000911,0.999089,0.01052,0.9999299999999998,6.999999999999998e-05,0.9999900000000002,1e-05,0.9999899453400002,1.0054660000000001e-05,0.999957,4.3e-05,0.00107,0.00018,0.00069,0.00018,0.00018,4e-05,3e-05,-2.0,False,False,3e-05,0.00066
x1 = -4.2,-4.2,0.999907,9.300000000000001e-05,0.00138,1.0,0.0,0.7310600000000002,0.26894000000000007,0.99997498858,2.501142000000001e-05,0.999957,4.3e-05,0.0,0.83994,0.00069,0.00042,8e-05,1e-05,1e-05,-2.0,False,False,3e-05,0.00066
x1 = -4.2,-4.2,0.999907,9.300000000000001e-05,0.00138,1.0,0.0,0.7310600000000002,0.26894000000000007,0.99997498858,2.501142000000001e-05,0.999957,4.3e-05,0.0,0.83994,0.00069,0.00042,8e-05,1e-05,1e-05,-2.0,False,False,3e-05,0.00066
x1 = -4.2,-4.2,0.999907,9.300000000000001e-05,0.00138,1.0,0.0,0.7310600000000002,0.26894000000000007,0.99997498858,2.501142000000001e-05,0.999957,4.3e-05,0.0,0.83994,0.00069,0.00042,8e-05,1e-05,1e-05,-2.0,False,False,3e-05,0.00066
x1 = -4.2,-4.2,0.999907,9.300000000000001e-05,0.00138,1.0,0.0,0.7310600000000002,0.26894000000000007,0.99997498858,2.501142000000001e-05,0.999957,4.3e-05,0.0,0.83994,0.00069,0.00042,8e-05,1e-05,1e-05,-2.0,False,False,3e-05,0.00066
x1 = -4.2,-4.2,0.999907,9.300000000000001e-05,0.00138,1.0,0.0,0.7310600000000002,0.26894000000000007,0.99997498858,2.501142000000001e-05,0.999957,4.3e-05,0.0,0.83994,0.00069,0.00042,8e-05,1e-05,1e-05,-2.0,False,False,3e-05,0.00066
x1 = -4.2,-4.2,0.999907,9.300000000000001e-05,0.00138,1.0,0.0,0.7310600000000002,0.26894000000000007,0.99997498858,2.501142000000001e-05,0.999957,4.3e-05,0.0,0.83994,0.00069,0.00042,8e-05,1e-05,1e-05,-2.0,False,False,3e-05,0.00066
x1 = -4.2,-4.2,0.999907,9.300000000000001e-05,0.00138,1.0,0.0,0.7310600000000002,0.26894000000000007,0.99997498858,2.501142000000001e-05,0.999957,4.3e-05,0.0,0.83994,0.00069,0.00042,8e-05,1e-05,1e-05,-2.0,False,False,3e-05,0.00066
x1 = -5.0,-5.0,0.99993,7.000000000000001e-05,0.00107,1.0,0.0,0.9241399999999997,0.07586000000000001,0.9999946898,5.310200000000001e-06,0.999957,4.3e-05,0.0,0.38742,0.00069,0.0001,3e-05,8e-05,4e-05,-2.0,False,False,3e-05,0.00066
x1 = -5.0,-5.0,0.99993,7.000000000000001e-05,0.00107,1.0,0.0,0.9241399999999997,0.07586000000000001,0.9999946898,5.310200000000001e-06,0.999957,4.3e-05,0.0,0.38742,0.00069,0.0001,3e-05,8e-05,4e-05,-2.0,False,False,3e-05,0.00066
x1 = -4.2,-4.2,0.999907,9.300000000000001e-05,0.00138,1.0,0.0,0.7310600000000002,0.26894000000000007,0.99997498858,2.501142000000001e-05,0.999957,4.3e-05,0.0,0.83994,0.00069,0.00042,8e-05,1e-05,1e-05,-2.0,False,False,3e-05,0.00066
