x1,label,note,p(u=0|z),p(u=1|z),H[p(u|z)],"p(u=0|z,x)","p(u=1|z,x)","p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,min_Va,max_Ve
-1.6,0,x1 = -1.6,0.9968299999999999,0.00317,0.03088,0.99142,0.00858,0.07586,0.9241399999999999,0.00317,0.9968299999999999,0.0756295727,0.9243704272999997,0.32082,0.67918,0.38742,0.03088,0.90527,0.38659,0.38436,0.8,True,0.73218,0.17309
6.7,0,x1 = 6.7,0.0,1.0,0.0,0.0,1.0,0.01799,0.98201,0.00858,0.99142,0.00858,0.99142,0.32082,0.67918,0.13,0.07123,0.90527,0.07123,0.07123,0.8,True,0.73218,0.17309
-3.7,0,x1 = -3.7,0.99996,4e-05,0.00064,0.9998799999999999,0.00012000000000000002,0.01099,0.9890100000000001,0.00091,0.99909,0.0109895968,0.9890104032,0.32082,0.67918,0.08729,0.0105,0.90527,0.08728,0.08728,0.8,True,0.73218,0.17309
-0.9,0,x1 = -0.9,0.9999800000000001,2e-05,0.00034,0.9999499999999999,5e-05,0.7242740000000001,0.27572599999999997,0.00091,0.99909,0.7242595327200001,0.27574046728,0.32082,0.67918,0.84956,0.0105,0.90527,0.84958,0.84952,0.8,True,0.73218,0.17309
-1.8,0,x1 = -1.8,0.9988300000000001,0.00117,0.01308,0.99753,0.00247,0.02298,0.9770199999999999,0.00317,0.9968299999999999,0.022956822300000002,0.9770431776999999,0.32082,0.67918,0.15786,0.03088,0.90527,0.15773,0.15755,0.8,True,0.73218,0.17309
-1.5,0,x1 = -1.5,0.9985000000000002,0.0015,0.01623,0.99753,0.00247,0.07586,0.9241399999999999,0.00247,0.99753,0.07574991500000001,0.924250085,0.32082,0.67918,0.38742,0.02495,0.90527,0.38702,0.38652,0.8,True,0.73218,0.17309
3.3,0,x1 = 3.3,0.5982839999999999,0.4017160000000001,0.97195,0.648028,0.35197199999999995,0.14805,0.8519500000000001,0.01406,0.98594,0.09422407315999998,0.9057759268400001,0.32082,0.67918,0.60494,0.10664,0.90527,0.45041,0.42955,0.8,True,0.73218,0.17309
3.8,0,x1 = 3.8,0.26894,0.73106,0.83994,0.49617000000000006,0.50383,0.14805,0.8519500000000001,0.01406,0.98594,0.0500952706,0.9499047294000001,0.32082,0.67918,0.60494,0.10664,0.90527,0.2868,0.35388,0.8,True,0.73218,0.17309
2.8,0,x1 = 2.8,0.8213459999999999,0.178654,0.67712,0.881378,0.118622,0.7696760000000001,0.23032399999999997,0.07586,0.9241399999999999,0.645722996336,0.35427700366399995,0.32082,0.67918,0.77858,0.38742,0.90527,0.93783,0.73218,0.8,True,0.73218,0.17309
-9.4,0,x1 = -9.4,0.9999,0.0001,0.00147,0.9996600000000001,0.00034,0.01799,0.98201,0.00407,0.9959299999999999,0.017988608,0.982011392,0.32082,0.67918,0.13,0.03818,0.90527,0.12999,0.12997,0.8,True,0.73218,0.17309
