x1,label,note,p(u=0|z),p(u=1|z),H[p(u|z)],"p(u=0|z,x)","p(u=1|z,x)","p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,min_Va,max_Ve
-2.3,0,x1 = -2.3,0.9999400000000002,6.000000000000001e-05,0.00093,0.9997399999999999,0.00026,0.9999,0.0001,0.9272940000000001,0.07270599999999999,0.9998956436400003,0.00010435636000000001,0.9999499999999999,5e-05,0.00147,0.37594,0.00079,0.00153,0.00157,1.0,True,0.00021,0.00058
8.3,0,x1 = 8.3,0.0,1.0,0.0,0.0,1.0,0.9988300000000001,0.00117,0.9988300000000001,0.00117,0.9988300000000001,0.00117,0.9999499999999999,5e-05,0.01308,0.01308,0.00079,0.01308,0.01308,1.0,True,0.00021,0.00058
-5.0,0,x1 = -5.0,0.9999800000000001,2e-05,0.00034,0.99997,3.0000000000000004e-05,0.9996600000000001,0.00034,0.9424420000000001,0.057558,0.9996588556400002,0.00034114436,0.9999499999999999,5e-05,0.00441,0.31767,0.00079,0.00442,0.00442,1.0,True,0.00021,0.00058
-1.0,0,x1 = -1.0,0.99807,0.00193,0.02018,0.9959299999999999,0.00407,0.9999,0.0001,0.5517559999999999,0.44824400000000003,0.99903508208,0.0009649179200000002,0.9999499999999999,5e-05,0.00147,0.99226,0.00079,0.01106,0.0055,1.0,True,0.00021,0.00058
-0.6,0,x1 = -0.6,0.93991,0.06009,0.3278,0.916254,0.083746,0.9998799999999999,0.00012000000000000002,0.47550799999999993,0.5244920000000001,0.9683704865199999,0.03162951348,0.9999499999999999,5e-05,0.00174,0.99827,0.00079,0.2025,0.0852,1.0,True,0.00021,0.00058
1.1,0,x1 = 1.1,0.9999800000000001,2e-05,0.00034,0.99993,7e-05,0.99999,1e-05,0.09535,0.90465,0.9999719072000002,2.8092800000000003e-05,0.9999499999999999,5e-05,0.00018,0.45408,0.00079,0.00047,0.00021,1.0,True,0.00021,0.00058
-0.4,0,x1 = -0.4,0.8370200000000001,0.16298,0.64139,0.7979999999999999,0.202,0.9998799999999999,0.00012000000000000002,0.67918,0.32082,0.947612314,0.052387686,0.9999499999999999,5e-05,0.00174,0.90527,0.00079,0.29645,0.18425,1.0,True,0.00021,0.00058
-0.2,0,x1 = -0.2,0.64091,0.35909,0.94193,0.5517559999999999,0.44824400000000003,0.9999,0.0001,0.80277,0.19723000000000002,0.9291125883,0.07088741170000001,0.9999499999999999,5e-05,0.00147,0.71635,0.00079,0.36923,0.32191,1.0,True,0.00021,0.00058
0.0,0,x1 = 0.0,0.567184,0.432816,0.98694,0.735348,0.264652,0.99999,1e-05,0.47550799999999993,0.5244920000000001,0.772985798688,0.227014201312,0.9999499999999999,5e-05,0.00018,0.99827,0.00079,0.77277,0.26433,1.0,True,0.00021,0.00058
-10.0,0,x1 = -10.0,1.0,0.0,0.0,0.99999,1e-05,0.9998400000000001,0.00016,0.9770199999999999,0.02298,0.9998400000000001,0.00016,0.9999499999999999,5e-05,0.00225,0.15786,0.00079,0.00225,0.00225,1.0,True,0.00021,0.00058
