x1,label,note,p(u=0|z),p(u=1|z),H[p(u|z)],"p(u=0|z,x)","p(u=1|z,x)","p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,min_Va,max_Ve
2.1,0,x1 = 2.1,1.0,0.0,0.0,1.0,0.0,0.99997,3.0000000000000004e-05,0.18243,0.8175700000000001,0.99997,3.0000000000000004e-05,0.9999,0.0001,0.00049,0.68536,0.00147,0.00049,0.00049,3.5,True,0.00079,0.00068
5.7,0,x1 = 5.7,0.0,1.0,0.0,0.0,1.0,0.9855219999999999,0.014478,0.9933099999999999,0.00669,0.9933099999999999,0.00669,0.9999,0.0001,0.1092,0.05795,0.00147,0.05795,0.05795,3.5,True,0.00079,0.00068
1.2,0,x1 = 1.2,1.0,0.0,0.0,1.0,0.0,0.9999499999999999,5e-05,0.592534,0.407466,0.9999499999999999,5e-05,0.9999,0.0001,0.00079,0.97515,0.00147,0.00079,0.00079,3.5,True,0.00079,0.00068
3.8,0,x1 = 3.8,0.99997,3.0000000000000004e-05,0.00049,0.99753,0.00247,1.0,0.0,0.26894,0.73106,0.9999780682,2.1931800000000006e-05,0.9999,0.0001,0.0,0.83994,0.00147,0.00037,0.00207,3.5,True,0.00079,0.00068
-2.0,0,x1 = -2.0,0.9999499999999999,5e-05,0.00079,0.99929,0.00071,0.99996,4e-05,0.6943700000000002,0.30562999999999996,0.9999447204999999,5.52795e-05,0.9999,0.0001,0.00064,0.88806,0.00147,0.00086,0.00127,3.5,True,0.00079,0.00068
6.2,0,x1 = 6.2,0.0,1.0,0.0,1e-05,0.99999,0.9959299999999999,0.00407,0.9947800000000001,0.00522,0.9947800000000001,0.00522,0.9999,0.0001,0.03818,0.04709,0.00147,0.04709,0.04709,3.5,True,0.00079,0.00068
6.7,0,x1 = 6.7,0.0,1.0,0.0,1e-05,0.99999,0.9890100000000001,0.01099,0.9947800000000001,0.00522,0.9947800000000001,0.00522,0.9999,0.0001,0.08729,0.04709,0.00147,0.04709,0.04709,3.5,True,0.00079,0.00068
-0.2,0,x1 = -0.2,0.9999,0.0001,0.00147,0.9988300000000001,0.00117,0.99993,7e-05,0.590514,0.40948599999999996,0.9998890584,0.0001109416,0.9999,0.0001,0.00107,0.97623,0.00147,0.00162,0.00221,3.5,True,0.00079,0.00068
7.4,0,x1 = 7.4,3.0000000000000004e-05,0.99997,0.00049,0.00012000000000000002,0.9998799999999999,0.9933099999999999,0.00669,0.9933099999999999,0.00669,0.9933099999999999,0.006690000000000001,0.9999,0.0001,0.05795,0.05795,0.00147,0.05795,0.05795,3.5,True,0.00079,0.00068
1.0,0,x1 = 1.0,1.0,0.0,0.0,1.0,0.0,0.99993,7e-05,0.642278,0.357722,0.99993,7e-05,0.9999,0.0001,0.00107,0.94078,0.00147,0.00107,0.00107,3.5,True,0.00079,0.00068
