x1,label,note,p(u=0|z),p(u=1|z),H[p(u|z)],"p(u=0|z,x)","p(u=1|z,x)","p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,min_Va,max_Ve
2.1,0,x1 = 2.1,1.0,0.0,0.0,0.99999,1e-05,0.9999499999999999,5e-05,0.07586,0.9241399999999999,0.9999499999999999,5e-05,0.99996,4e-05,0.00079,0.38742,0.00064,0.00079,0.00079,2.8,True,0.00034,0.0003
5.7,0,x1 = 5.7,0.0,1.0,0.0,0.0,1.0,0.9994499999999998,0.00055,0.9997399999999999,0.00026,0.9997399999999999,0.00026,0.99996,4e-05,0.00675,0.00347,0.00064,0.00347,0.00347,2.8,True,0.00034,0.0003
1.2,0,x1 = 1.2,1.0,0.0,0.0,1.0,0.0,0.9999800000000001,2e-05,0.901042,0.09895799999999999,0.9999800000000001,2e-05,0.99996,4e-05,0.00034,0.46568,0.00064,0.00034,0.00034,2.8,True,0.00034,0.0003
3.8,0,x1 = 3.8,0.9998000000000001,0.0002,0.00275,0.9959299999999999,0.00407,1.0,0.0,0.99957,0.00043,0.9999999140000001,8.6e-08,0.99996,4e-05,0.0,0.00543,0.00064,0.0,2e-05,2.8,True,0.00034,0.0003
-2.0,0,x1 = -2.0,0.9999499999999999,5e-05,0.00079,0.9998000000000001,0.0002,0.99993,7e-05,0.9382680000000001,0.061731999999999995,0.9999269168999998,7.30831e-05,0.99996,4e-05,0.00107,0.33428,0.00064,0.00111,0.00114,2.8,True,0.00034,0.0003
6.2,0,x1 = 6.2,1e-05,0.99999,0.00018,2e-05,0.9999800000000001,0.9998799999999999,0.00012000000000000002,0.9997399999999999,0.00026,0.9997400013999999,0.0002599986,0.99996,4e-05,0.00174,0.00347,0.00064,0.00347,0.00347,2.8,True,0.00034,0.0003
6.7,0,x1 = 6.7,1e-05,0.99999,0.00018,1e-05,0.99999,0.9996600000000001,0.00034,0.9994499999999998,0.00055,0.9994500020999999,0.0005499979000000001,0.99996,4e-05,0.00441,0.00675,0.00064,0.00675,0.00675,2.8,True,0.00034,0.0003
-0.2,0,x1 = -0.2,0.9998000000000001,0.0002,0.00275,0.9988300000000001,0.00117,0.9999400000000002,6.000000000000001e-05,0.969502,0.030498000000000004,0.9999339124000003,6.608760000000002e-05,0.99996,4e-05,0.00093,0.19688,0.00064,0.00101,0.00116,2.8,True,0.00034,0.0003
7.4,0,x1 = 7.4,0.00016,0.9998400000000001,0.00225,0.00012000000000000002,0.9998799999999999,0.99957,0.00043,0.9968299999999999,0.00317,0.9968304384,0.0031695616,0.99996,4e-05,0.00543,0.03088,0.00064,0.03088,0.03088,2.8,True,0.00034,0.0003
1.0,0,x1 = 1.0,1.0,0.0,0.0,1.0,0.0,0.9999800000000001,2e-05,0.9497300000000001,0.05027,0.9999800000000001,2e-05,0.99996,4e-05,0.00034,0.28754,0.00064,0.00034,0.00034,2.8,True,0.00034,0.0003
