note,x1,p(u=0|z),p(u=1|z),H[p(u|z)],"p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,z_value_for_min_Va,min_Va,max_Ve
x1 = 4.0,4.0,0.5369280000000001,0.46307200000000004,0.99606,0.22270000000000004,0.7773,0.22270000000000004,0.7773,0.22270000000000006,0.7773000000000001,0.24669400000000002,0.753306,0.76507,0.76507,0.806,0.76507,0.76507,3.4,False,False,0.8016,0.0044
x1 = 0.6,0.6,0.764136,0.23586400000000002,0.78809,0.26894,0.73106,0.32082,0.67918,0.28117662432,0.71882337568,0.24669400000000002,0.753306,0.83994,0.90527,0.806,0.85705,0.85535,3.4,False,False,0.8016,0.0044
x1 = -0.7,-0.7,0.67852,0.32148000000000004,0.90598,0.32082,0.67918,0.32082,0.67918,0.32082,0.6791800000000001,0.24669400000000002,0.753306,0.90527,0.90527,0.806,0.90527,0.90527,3.4,False,False,0.8016,0.0044
x1 = 0.2,0.2,0.8425499999999999,0.15745,0.62817,0.26894,0.73106,0.37754,0.62246,0.28603906999999995,0.7139609299999999,0.24669400000000002,0.753306,0.83994,0.95629,0.806,0.86355,0.85826,3.4,False,False,0.8016,0.0044
x1 = 4.5,4.5,0.487944,0.5120560000000001,0.99958,0.26894,0.73106,0.22270000000000004,0.7773,0.24526253056000002,0.7547374694400001,0.24669400000000002,0.753306,0.83994,0.76507,0.806,0.80368,0.8016,3.4,True,True,0.8016,0.0044
x1 = -10.0,-10.0,0.971984,0.028016000000000003,0.18434,0.32082,0.67918,0.43782,0.56218,0.32409787199999995,0.675902128,0.24669400000000002,0.753306,0.90527,0.98882,0.806,0.90878,0.90761,3.4,False,False,0.8016,0.0044
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.32082,0.67918,0.26894,0.73106,0.28613386208,0.7138661379200001,0.24669400000000002,0.753306,0.90527,0.83994,0.806,0.86367,0.86159,3.4,False,False,0.8016,0.0044
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.32082,0.67918,0.26894,0.73106,0.28613386208,0.7138661379200001,0.24669400000000002,0.753306,0.90527,0.83994,0.806,0.86367,0.86159,3.4,False,False,0.8016,0.0044
x1 = 5.3,5.3,0.37615800000000005,0.623842,0.95528,0.32082,0.67918,0.22270000000000004,0.7773,0.25960862296000004,0.7403913770400001,0.24669400000000002,0.753306,0.90527,0.76507,0.806,0.82616,0.81781,3.4,True,False,0.8016,0.0044
x1 = -10.0,-10.0,0.971984,0.028016000000000003,0.18434,0.32082,0.67918,0.43782,0.56218,0.32409787199999995,0.675902128,0.24669400000000002,0.753306,0.90527,0.98882,0.806,0.90878,0.90761,3.4,False,False,0.8016,0.0044
x1 = -5.1,-5.1,0.96578,0.03422,0.21513,0.32082,0.67918,0.43782,0.56218,0.32482373999999997,0.6751762600000001,0.24669400000000002,0.753306,0.90527,0.98882,0.806,0.90955,0.90813,3.4,False,False,0.8016,0.0044
x1 = 10.0,10.0,0.331416,0.6685840000000001,0.91637,0.32082,0.67918,0.26894,0.73106,0.28613386208,0.7138661379200001,0.24669400000000002,0.753306,0.90527,0.83994,0.806,0.86367,0.86159,3.4,False,False,0.8016,0.0044
x1 = 5.2,5.2,0.387502,0.612498,0.96317,0.32082,0.67918,0.22270000000000004,0.7773,0.26072169624,0.7392783037599999,0.24669400000000002,0.753306,0.90527,0.76507,0.806,0.82783,0.8194,3.4,True,False,0.8016,0.0044
x1 = -10.0,-10.0,0.971984,0.028016000000000003,0.18434,0.32082,0.67918,0.43782,0.56218,0.32409787199999995,0.675902128,0.24669400000000002,0.753306,0.90527,0.98882,0.806,0.90878,0.90761,3.4,False,False,0.8016,0.0044
x1 = 5.2,5.2,0.387502,0.612498,0.96317,0.32082,0.67918,0.22270000000000004,0.7773,0.26072169624,0.7392783037599999,0.24669400000000002,0.753306,0.90527,0.76507,0.806,0.82783,0.8194,3.4,True,False,0.8016,0.0044
